Asia/Bangkok,Open,High,Low,Close,Volume
2026-07-24T17:46:00+07:00,4058.805,4058.805,4057.965,4058.205,11640
2026-07-24T17:47:00+07:00,4058.205,4059.055,4057.985,4058.835,10800
2026-07-24T17:48:00+07:00,4058.765,4058.765,4057.685,4057.885,11160
2026-07-24T17:49:00+07:00,4057.885,4058.875,4057.375,4058.705,12180
2026-07-24T17:50:00+07:00,4058.705,4059.125,4058.345,4058.835,15900
2026-07-24T17:51:00+07:00,4058.755,4059.285,4058.515,4059.155,12240
2026-07-24T17:52:00+07:00,4059.115,4059.285,4058.495,4058.865,13380
2026-07-24T17:53:00+07:00,4058.825,4059.285,4057.055,4057.075,16020
2026-07-24T17:54:00+07:00,4057.075,4058.625,4057.075,4057.665,12420
2026-07-24T17:55:00+07:00,4057.645,4058.485,4057.285,4058.485,16380
2026-07-24T17:56:00+07:00,4058.465,4058.695,4058.295,4058.615,9780
2026-07-24T17:57:00+07:00,4058.415,4059.425,4058.415,4059.415,9780
2026-07-24T17:58:00+07:00,4059.445,4060.045,4059.445,4060.005,14220
2026-07-24T17:59:00+07:00,4059.995,4060.145,4059.725,4059.955,14100
2026-07-24T18:00:00+07:00,4060.075,4060.125,4058.265,4058.655,25260
2026-07-24T18:01:00+07:00,4058.785,4060.835,4058.465,4060.815,26160
2026-07-24T18:02:00+07:00,4060.835,4061.165,4059.115,4059.345,15720
2026-07-24T18:03:00+07:00,4059.315,4062.605,4059.315,4062.455,16320
2026-07-24T18:04:00+07:00,4062.265,4062.565,4061.845,4062.125,15300
2026-07-24T18:05:00+07:00,4062.115,4063.285,4061.965,4062.615,13080
2026-07-24T18:06:00+07:00,4062.645,4062.645,4061.715,4061.915,11160
2026-07-24T18:07:00+07:00,4061.915,4062.425,4060.905,4061.235,12840
2026-07-24T18:08:00+07:00,4061.185,4061.585,4060.815,4061.025,10020
2026-07-24T18:09:00+07:00,4061.025,4061.115,4060.405,4060.855,9180
2026-07-24T18:10:00+07:00,4060.825,4060.855,4060.265,4060.455,4920
2026-07-24T18:11:00+07:00,4060.445,4060.785,4060.135,4060.695,4260
2026-07-24T18:12:00+07:00,4060.795,4060.795,4060.515,4060.615,3840
2026-07-24T18:13:00+07:00,4060.585,4060.695,4060.255,4060.545,8160
2026-07-24T18:14:00+07:00,4060.545,4061.145,4060.445,4061.095,7200
2026-07-24T18:15:00+07:00,4061.095,4061.685,4060.675,4061.455,10560
2026-07-24T18:16:00+07:00,4061.305,4061.465,4060.845,4061.215,9960
2026-07-24T18:17:00+07:00,4061.215,4061.645,4060.435,4060.565,11580
2026-07-24T18:18:00+07:00,4060.565,4060.765,4060.295,4060.625,8040
2026-07-24T18:19:00+07:00,4060.625,4061.415,4059.925,4061.175,10590
2026-07-24T18:20:00+07:00,4061.065,4061.065,4060.255,4060.515,11460
2026-07-24T18:21:00+07:00,4060.705,4060.705,4060.175,4060.525,10260
2026-07-24T18:22:00+07:00,4060.415,4060.655,4060.275,4060.365,6360
2026-07-24T18:23:00+07:00,4060.345,4061.575,4060.045,4061.575,7080
2026-07-24T18:24:00+07:00,4061.555,4061.795,4061.235,4061.295,8040
